name,Base Note,Department,Heart/Middle Note,link,Scents/Notes,Size,Top Note,price,concentration
AHMED Ain,"musk, amber, sandalwood",Unisex,"tuberose, sambiac, jasmine",https://www.noon.com/uae-en/ain-edp-75ml/N42309032A/p?o=ba96fc284b91491c,,75ml,,180.0,EDP
AHMED Daam Watani,"agarwood, amber musk, moss",Unisex,"roses, white flowers",https://www.noon.com/uae-en/daam-watani-edp-90ml/N42309030A/p?o=d31b6c2f7ad81b6c,,90ml,,249.4,EDP
AHMED Hirfa,woody,Unisex,floral,https://www.noon.com/uae-en/hirfa-edp-75ml/N42309031A/p?o=ef326fe64c95631d,,75ml,,167.5,EDP
AHMED Lahen,"musk , vanilla.",Unisex,"sandalwood , amber.",https://www.noon.com/uae-en/lahen-edp-12ml/N42309016A/p?o=e7234fc7801fd77d,,12ml,,60.4,EDP
AHMED Leather,leathery notes,Unisex,thyme,https://www.noon.com/uae-en/leather-edp-50ml/N42309025A/p?o=b191b28a813a08cf,,50ml,,76.0,EDP
AHMED Oud Classic,"agarwood, frakincense",Unisex,"lavender, vanilla",https://www.noon.com/uae-en/oud-classic-edp-50ml/N42309027A/p?o=e1380b86798225ea,,50ml,,76.0,EDP
AHMED Oud Complex,"amber, vanilla, musk, cedarwood, maltol",Unisex,"flower, jasmine, lily of the valley",https://www.noon.com/uae-en/oud-complex-edp-100ml/N42309014A/p?o=a1ae44f8ed724cbc,,100ml,,85.6,EDP
AHMED Raheeque,"ambergris, oud, musk",Unisex,"patchouli, cinnamyl, zafran touch",https://www.noon.com/uae-en/raheeque-edp-12ml/N42309020A/p?o=efcebcb21d8b07ec,,12ml,,136.0,EDP
AHMED Rose Noir,"agarwood, vanilla beans, patchouli, olibanum, sandalwood",Unisex,"fresnia, leather, gardenia, musk, violet",https://www.noon.com/uae-en/rose-noir-edp-75ml/N42309023A/p?o=c14863b9345228bc,,75ml,,110.8,EDP
AHMED Saif,"musk, vanilla",Unisex,sandalwood,https://www.noon.com/uae-en/saif-edp-50ml/N42309018A/p?o=d288adc392c6835b,,50ml,,76.0,EDP
AIGNER Aigner Icon,"sandalwood, vanilla, tonka bean",Women,"jasmine, heliotrope, orange blossom",https://www.noon.com/uae-en/aigner-icon-edp-100ml/N37974294A/p?o=c0a8450f988792aa,Fresh,100ml,,115.55,EDP
AIGNER Cara Mia,"patchouli, cashmere musk, olibanum, labdanum",Women,"jasmine, peach, orris",https://www.noon.com/uae-en/cara-mia-edp-50ml/N11201869A/p?o=c8a7753f7594170b,Floral,50ml,"bergamot, fresh mandarine, aromatic coriander, a hint of black pepper",56.0,EDP
AIGNER Debut,"patchouli, cedar, vanilla, white musk, oak moss",Women,"luminous orange blossom, water lily, jasmine, sunflower seed",https://www.noon.com/uae-en/debut-edp-100ml/N11200448A/p?o=c27f5fb75b88888c,Citrus,100ml,"bergamot, mandarin, grapefruit, green apple",79.8,EDP
AIGNER Debut,"patchouli, cedar, oakmoss, vanilla,, white musk",Women,"jasmine, orange blossom, water lily,, sunflower",https://www.noon.com/uae-en/debut-eau-de-parfum-100ml/N27640545A/p?o=cc836a1a7d77e84f,Floral,100ml,"bergamot, grapefruit, petitgrain,, green apple",113.2,EDP
AIGNER Debut Night,"cedar , vanilla , raspberry",Women,"orange blossom , rose, water lily",https://www.noon.com/uae-en/debut-night-edp-100ml/N11803387A/p?o=eed0c6f81e5ea8cf,Floral,100ml,"bergamot , lemon , bitter orange",133.08,EDP
AIGNER Etienne,"virginia cedar , amber, almond",Women,"freesia , rose , apricot",https://www.noon.com/uae-en/etienne-edp-100ml/N11803388A/p?o=b46e716a102e341a,Citrus,100ml,"bergamot , mandarin orange , pepper",135.75,EDP
AIGNER Etienne Pour Femme,"almond, cedar, musk, amber,, patchouli",Women,"rose, freesia, apricot",https://www.noon.com/uae-en/etienne-pour-femme-edp-100ml/N26365877A/p?o=b7cde2ea3454057f,Citrus,100ml,,112.3,EDP
AIGNER Icon,"sandalwood, vanilla, tonka bean",Women,"jasmine, heliotrope, orange blossom",https://www.noon.com/uae-en/icon-edp-100ml/N22797917A/p?o=d92870da32db762c,,100ml,"violet leaf, mandarin orange, peach",113.55,EDP
AIGNER No. Oud,"labdanum, vetiver, oud, sandalwood, musk, cedar",Men,"geranium, cinnamon, ginger",https://www.noon.com/uae-en/no-1-oud-edp-100ml/N11200450A/p?o=c549af3b3389f78a,,100ml,"artemisia, cedar leaf, pepper, bergamot",110.85,EDP
AIGNER N°Oud,"agarwood, leather, cashmeran, saffron accords",Unisex,"jasmine, rose, violet, clove",https://www.noon.com/uae-en/n-1-oud-edp-100ml/N30391197A/p?o=cda05abd08f3d35a,Floral,100ml,,102.45,EDP
AIGNER Starlight,"patchouli, sandalwood, vanilla, white musk",Women,"cumin, jasmine, strawberries",https://www.noon.com/uae-en/starlight-edp-100ml/N12880871A/p?o=afc06c7ad755c81a,Floral,100ml,"bergamot, pineapple",87.4,EDP
AIGNER Starlight Gold,"amber, sandalwood, moss, white musk, vanilla",Women,"jasmine, rose, violet, ylang-ylang, tuberose, white orchid",https://www.noon.com/uae-en/starlight-gold-edp-100ml/N16718758A/p?o=f121dafdeb18678d,Floral,100ml,"bergamot, plum, champaka",99.95,EDP
AIGNER Too Feminine,"iris, sandalwood, amber, musk, oakmoss, vetiver",Women,"indian tuberose, tunisian orange blossom, parma violet, magnolia, egyptian jasmine",https://www.noon.com/uae-en/too-feminine-edp-100ml/N11201878A/p?o=e03f02affbcb674e,Arabian,100ml,"passionfruit, grapefruit, watermelon",109.1,EDP
AJ Arabia Black Collection Private Collection I,"sandalwood, cedar, musk",Unisex,"incense, cypress",https://www.noon.com/uae-en/black-collection-private-collection-i-edp-50ml/N23102038A/p?o=db1640f2e9bbe93f,,50ml,"cinnamon, cardamom",405.85,EDP
AL KHAYAM Ahlam Al Arab,"amber, musk",Men,,https://www.noon.com/uae-en/ahlam-al-arab-edp-80ml/N20791270A/p?o=c2f54ca24a38a18f,,80ml,"oriental spices, woody notes, cedar",45.0,EDP
AL MAS Romantic Perfume,"andalwood ، amber, patchouli",Women,orange blossom,https://www.noon.com/uae-en/romantic-perfume-100ml/N25554021A/p?o=cffa2ecbd5c8dfcd,,100ml,,129.7,EDP
ALAIA Paris,"tonka bean, musk, leather",Women,orange blossom,https://www.noon.com/uae-en/paris-edp-100ml/N13789988A/p?o=aca5ca3751a0e9cf,,100ml,"mountain air, pink pepper",324.1,EDP
ALEXANDER MC QUEEN McQueen Eau Blanche,"white flowers, sambac jasmine",Women,"sleek wood, white musk",https://www.noon.com/uae-en/mcqueen-eau-blanche-edp-75ml/N20179742A/p?o=cc6ebb83fb63ee9a,Floral,75ml,violet leaves,137.35,EDP
ALIEN Mugler,white amber,Women,cashmerian wood,https://www.noon.com/uae-en/mugler-edp-30ml/N11075930A/p?o=a55700f5fa4e37fc,Woody,30ml,jasmine sambac,211.6,EDP
ALMAS Oud Niche Spray,fresh,Unisex,fresh,https://www.noon.com/uae-en/oud-niche-spray-60ml/N39900636A/p?o=d6decdaddae365ec,Fresh,60ml,,81.9,EDP
AMORINO Black Diamond,"sandalwood, cedar wood, guaiac wood, patchouli, vanilla, white musk",Unisex,"jasmine, sambac, iris, violet, white petals",https://www.noon.com/uae-en/black-diamond-edp-100ml/N11959543A/p?o=e066d527695b0bbe,,100ml,"mandarin, bergamot, lime, lemon, anise, clove",1050.0,EDP
AMORINO Black Essence,"musk, amber, vetiver",Unisex,"iris, sage, carrot see, ginger, geranium",https://www.noon.com/uae-en/black-essence-edp-100ml/N11074605A/p?o=b3b9f36b39f848fc,,100ml,"bergamot, lemon, mandarin",579.0,EDP
AMORINO Black Rose,"patchouli, musk, vanilla, tonka bean",Unisex,"lavandin, black pepper, cinnamon",https://www.noon.com/uae-en/black-rose-edp-100ml/N36522269A/p?o=ee89c07cbe00712b,Fresh,100ml,"bergamot, lemon, orange",1050.0,EDP
AMORINO Gold Feel Me,"patchouli, tonka bean, vanilla, musk",Unisex,"iris, orange flower, jasmine",https://www.noon.com/uae-en/gold-feel-me-edp-50ml/N11074610A/p?o=e566061f8cd998ba,,50ml,"lemon, orange, black currant",620.0,EDP
AMORINO Gold Morethan Love,"amber, vanilla, oak moss, musk",Unisex,"pink pepper, jasmine, birch, patchouli",https://www.noon.com/uae-en/gold-morethan-love-edp-50ml/N11074623A/p?o=ba1afe38df0df52f,,50ml,"cassis, bergamot, apple, pineapple, aromatic notes",700.0,EDP
AMORINO Gold Touch Me,"amber, vanilla, oakmoss, musk, patchouli",Unisex,"jasmine, birch, rose",https://www.noon.com/uae-en/gold-touch-me-edp-50ml/N11074619A/p?o=e2a08415f4791f0b,,50ml,"bergamot, cassis, apple, pineapple",700.0,EDP
AMORINO Private Musk,vanilla,Unisex,white rose,https://www.noon.com/uae-en/private-musk-edp-50ml/N11959538A/p?o=ea78eb7ab13c2b6e,,50ml,sweet blackberry,289.0,EDP
AMORINO Royal Night,"green, black tea",Unisex,"precious wood, musk, amber",https://www.noon.com/uae-en/royal-night-edp-50ml/N11959539A/p?o=e62bcf8a6d6fa20b,Woody,50ml,"citrus iris, sicilian-lemon, bergamot, green mandarin, black current",820.0,EDP
AMOUAGE Amouage,"patchouli, incense, vanilla, amber",Women,"tea, jasmine, geranium",https://www.noon.com/uae-en/amouage-edp-100ml/N37974290A/p?o=a1dc7bb73570adac,Fresh,100ml,"cinnamon, caraway",1488.05,EDP
AMOUAGE Amouage,"precious aoud, patchouli, leather, incense.",Men,"geranium, myrrh",https://www.noon.com/uae-en/amouage-edp-100ml/N31473982A/p?o=b6502d186720dfbb,Spicy,100ml,"pink pepper, cardamom, saffron, nutmeg",680.0,EDP
AMOUAGE Beach Hut,"driftwood, ylang-ylang",Women,"driftwood, ylang-ylang",https://www.noon.com/uae-en/beach-hut-edp-100ml/N23098395A/p?o=e504bb46e572f49a,Woody,100ml,"bergamot, mineral notes",495.05,EDP
AMOUAGE Beach Hut,"myrrh, patchouli, woody accord",Men,"vetiver, moss, ivy",https://www.noon.com/uae-en/beach-hut-edp-100ml/N20179840A/p?o=b54ac6a2c477e29f,Woody,100ml,"mint, orange blossom, galbanum",616.35,EDP
AMOUAGE Beloved,"cedar wood atlas, guaiac wood, leather",Men,"geranium bourbon, jasmine, orris, cumin",https://www.noon.com/uae-en/beloved-edp-100ml/N12582150A/p?o=a71fbcbb0dd40bfc,Fruity,100ml,"orange, grape fruit, black pepper, cardamom",565.0,EDP
AMOUAGE Beloved,"musk, sandalwood, cedar, vanilla, castoreum, civet, leather, ambergris",Women,"immortelle, labdanum, ylang-ylang, patchouli, benzoin, olibanum, violet",https://www.noon.com/uae-en/beloved-edp-100ml/N11201601A/p?o=f66a560f62402c8b,,100ml,"jasmine,lavender, rose, clary sage, chamomile, cloves, cardamom",549.0,EDP
AMOUAGE Ciel,"amber, musk, cedarwood, sandalwood, incense",Women,"peach blossom, water lily, rose, jasmine",https://www.noon.com/uae-en/ciel-edp-100ml/N11074629A/p?o=e6376b299574b3cf,Floral,100ml,"gardenia, cyclamen, violet leaf",539.65,EDP
AMOUAGE Dia,"patchouli, amber, brazilian rosewood, vetiver, leather",Men,"ylang-ylang, plum, peach, orris root",https://www.noon.com/uae-en/dia-edp-100ml/N25837891A/p?o=cf3b737077d4251a,Woody,100ml,"abdanum, incense, bitter orange, cardamom",579.15,EDP
AMOUAGE Dia,"leather, amber, patchouli, vetiver, brazilian rosewood",Men,"peony, plum, ylang-ylang, orris root",https://www.noon.com/uae-en/dia-edp-3-4ounce/N26193098A/p?o=cf2e71c86dd1796a,,3.4ounce,"incense, cardamom, labdanum, bitter orange",562.0,EDP
AMOUAGE Epic,"precious aoud, patchouli, leather, incense",Men,"essences of geranium, myrrh",https://www.noon.com/uae-en/epic-edp-100ml/N11756264A/p?o=b50f191c3677432c,Musk,100ml,,449.0,EDP
AMOUAGE Epic,"aoud, patchouli, leather , incense",Men,"geranium , myrrh",https://www.noon.com/uae-en/epic-edp-2ml/N36158977A/p?o=ae24222068aa32fe,Arabian,2ml,"pink pepper, cardamom, saffron , nutmeg",38.5,EDP
AMOUAGE Fate,"vanilla bean, frankincense, benzoin, castoreum, patchouli, oakmoss, leather",Women,"rose, narcissus, jasmine, frankincense, labdanum",https://www.noon.com/uae-en/fate-edp-100ml/N11074634A/p?o=dec473b7daa3dc6c,Jasmine,100ml,"bergamot, cinnamon, chilli, pepper",494.2,EDP
AMOUAGE Fate For Women,"vanilla, frankincense, benzoin, castoreum, patchouli, oakmoss, leather",Women,"rose, narcissus, jasmine, frankincense, labdanum",https://www.noon.com/uae-en/fate-edp-for-women-100ml/N26481654A/p?o=ebdece8b26e852eb,Jasmine,100ml,"bergamot, cinnamon, chilli pepper",640.1,EDP
AMOUAGE Figment,"labdanum, guaiac wood",Men,"sandalwood, animalic accord, vetiver, leather",https://www.noon.com/uae-en/figment-edp-100ml/N20690966A/p?o=bc53d77d8211596d,Sandalwood,100ml,"lemon, geranium, pink pepper",399.0,EDP
AMOUAGE Figment,"orris, papyrus, incense, patchouli",Women,"tuberose, jasmine, orange blossom, lily, ylang-ylang, cassia bourbon",https://www.noon.com/uae-en/figment-edp-100ml/N33662562A/p?o=ae35ee0c76e389de,,100ml,"sichuan pepper, saffron, garde",425.0,EDP
AMOUAGE Gold,"ambergris, civet, musk, cedar wood, sandalwood",Women,"myrrh, orris, jasmine",https://www.noon.com/uae-en/gold-edp-100ml/N12582153A/p?o=c247c58c6282891b,Woody,100ml,"rose, lily of the valley, frankincense",601.0,EDP
AMOUAGE Honour,"patchouli, cedar, vetiver, frankincense, musk, tonka bean",Men,"geranium, elemi, nutmeg",https://www.noon.com/uae-en/honour-edp-100ml/N37566977A/p?o=d5f71545ca807e3c,,100ml,"red, black pepper",1097.0,EDP
AMOUAGE Honour,"patchouli, cedar, vetiver, frankincense, musk, tonka bean",Women,"geranium, elemi, nutmeg",https://www.noon.com/uae-en/honour-edp-100ml/N23098404A/p?o=cf367945aecf396e,Spicy,100ml,"coriander, pepper, rhuburb",558.05,EDP
AMOUAGE Honour,"patchouli, frankincense, cedar wood, vetiver, tonka bean, musk",Men,"geranium, nutmeg, elemi",https://www.noon.com/uae-en/honour-edp-3-4ounce/N26193097A/p?o=fa0d7b52def4ea1a,Spicy,3.4ounce,,1220.05,EDP
AMOUAGE Imitation,"incense, sandalwood, patchouli",Women,"blackcurrant buds, aldehydes, liquorice",https://www.noon.com/uae-en/imitation-edp-100ml/N25837866A/p?o=faab384105e8435f,,100ml,"rose, ylang-ylang, orange blossom, jasmine",548.0,EDP
AMOUAGE Interlude Black Iris,"leather, agarwood (oud), patchouli, sandalwood, cedar",Men,"orris, amber, olibanum, labdanum, myrhh, vanilla",https://www.noon.com/uae-en/interlude-black-iris-edp-100ml/N40021882A/p?o=d2046eaad22d244b,Woody,100ml,"bergamot, rosemary, violet leaf",749.95,EDP
AMOUAGE Interlude,"vanilla, leather, oakmoss, amber, benzoin tonka bean, musk, agarwood,, sandalwood",Women,"incense, rose, orange blossom, jasmine, walnut coffee, kiwi, sandalwood, honey, immortelle,, opoponax",https://www.noon.com/uae-en/interlude-edp-100ml/N13581449A/p?o=c807d786df81126b,Fruity,100ml,"ginger, marigold, grapefruit, bergamot",571.5,EDP
AMOUAGE Interlude,"leather, agarwood smoke, patchouli, sandalwood",Men,"amber, frankincense, opoponax, cistus, myrrh",https://www.noon.com/uae-en/interlude-edp-100ml/N23100860A/p?o=f99ead4b5ed4af7a,Fresh,100ml,"zesty bergamot, oregano, pimento berry oil",651.3,EDP
AMOUAGE Interlude,"leather, agarwood smoke, patchouli , s,alwood",Men,"amber, frankincense, opoponax, cistus , myrrh",https://www.noon.com/uae-en/interlude-edp-2ml/N36158970A/p?o=a81001013a5c1d4d,Arabian,2ml,"zesty bergamot, oregano , pimento berry oil",38.05,EDP
AMOUAGE Interlude For Men,"agarwood, patchouli, sandalwood, smoke, leather",Men,"amber, cistus, opoponax, frankincense",https://www.noon.com/uae-en/interlude-edp-for-men-100ml/N11201605A/p?o=b03f9f24084481eb,,100ml,"oregano, bergamot, pimento berry oil",648.05,EDP
AMOUAGE Journery,"tonka bean, leather, cypriol oil or nagarmotha, musk",Men,"juniper berries, incense, tobacco leaf",https://www.noon.com/uae-en/journery-edp-100ml/N14798944A/p?o=c6d4bd7e244fa7fa,Spicy,100ml,"sichuan pepper, cardamom, bergamot, neroli",561.0,EDP
AMOUAGE Journey,"tonka beans, cypriol, leather, ambrox",Men,"juniper berries, incense, pure geraniol, tobacco leaves",https://www.noon.com/uae-en/journey-edp-100ml/N23102593A/p?o=e323a12407aaf34c,,100ml,"pepper, bergamot, cardamom, neroli, bigarade",526.4,EDP
AMOUAGE Journey,"tonka bean, leather, cypriol oil or nagarmotha, musk",Women,"juniper berries, incense, tobacco leaf",https://www.noon.com/uae-en/journey-edp-100ml/N37974274A/p?o=d1f760bf81eb216b,Fresh,100ml,"cardamom, sichuan pepper, bergamot, neroli",475.05,EDP
AMOUAGE Jubilation,"amber, musk, vetiver, myrrh, patchouli",Women,"davana, labdanum ciste, rose, frakincense",https://www.noon.com/uae-en/jubilation-25-edp-100ml/N12582156A/p?o=ba9d17dacfe53d8e,Floral,100ml,"tarragon, rose, lemon, ylang-ylang",593.1,EDP
AMOUAGE Library Collection Opus III,"musk, sandalwood, guaiac, wood virginia, cedar, benzoin, vanille, ambrette (musk mallow), papyrus",Unisex,"jasmine, african orange flower, ylang-ylang, violet",https://www.noon.com/uae-en/library-collection-opus-iii-edp-50ml/N36477583A/p?o=a43e3a82cac1098a,Woody,50ml,"mimosa, dyer’s, greenweed, clove, nutmeg thyme",439.0,EDP
AMOUAGE Library Collection Opus V,"civetta, woodsy notes, agar wood",Unisex,"rose, jasmine, iris",https://www.noon.com/uae-en/library-collection-opus-v-edp-100ml/N37974217A/p?o=bdcfc888126c599d,Woody,100ml,,611.35,EDP
AMOUAGE Library Collection Opus VIII,"west indian bay, benzoin",Unisex,"olibanum, saffron, ginger, vetiver,, guaiac wood",https://www.noon.com/uae-en/library-collection-opus-viii-edp-100ml/N14790149A/p?o=c39409809e8e536a,Fruity,100ml,"jasmine, orange blossom,ylang-ylang",603.0,EDP
AMOUAGE Library Collection Opus Xi,"styrax, leatherwood",Unisex,agarwood,https://www.noon.com/uae-en/library-collection-opus-xi-edp-100ml/N39769415A/p?o=d4aa826c0d26ce6d,,100ml,marjoram,629.95,EDP
AMOUAGE Library Collestion Opus X,"metallic notes, laotian oud, ylang-ylang, ambrarome",Unisex,"geranium, leather, varnish accord",https://www.noon.com/uae-en/library-collestion-opus-x-edp-100ml/N11756267A/p?o=c31c8c75759516cf,Floral,100ml,"may rose, red rose, rose",603.05,EDP
AMOUAGE Lilac Love,"sandalwood, vanilla, patchouli",Women,"orris, cocoa bean, tonka bean",https://www.noon.com/uae-en/lilac-love-edp-100ml/N13789883A/p?o=ae76346878187dec,Jasmine,100ml,"jasmine, rose, gardenia, peony, heliotrope",638.65,EDP
AMOUAGE Liprary Pous I,"civet, ambergris, vetiver",Unisex,"leather, beeswax, guaiac wood",https://www.noon.com/uae-en/liprary-pous-i-edp-100ml/N11074646A/p?o=d672d79f3b1f0ffe,,100ml,"jasmine, camelia, black pepper",531.45,EDP
AMOUAGE Love Tuberose,"cedarwood, sandalwood",Women,"chantilly cream, vanilla",https://www.noon.com/uae-en/love-tuberose-edp-100ml/N36969301A/p?o=b7f920a62c09aeeb,Jasmine,100ml,"tuberose, gardenia, jasmine",750.0,EDP
AMOUAGE Lyric,"oakmoss, sandalwood, vanilla, tonka bean, musk, patchouli, frankincense",Women,"rose,angelica,jasmine,ylang ylang,geranium, orris",https://www.noon.com/uae-en/lyric-edp-100ml/N11201611A/p?o=c2fa4d0b9415a39d,,100ml,"bergamot, spicy cardamom, cinnamon, ginger",513.5,EDP
AMOUAGE Lyric,"are pine tree, sandalwood, incense, vanilla, musk",Men,"rose, angelica, orange blossom, galbanum, nutmeg, ginger, saffron",https://www.noon.com/uae-en/lyric-edp-100ml/N37552954A/p?o=d1dea1cc49469f6a,Floral,100ml,"bergamot, lime",540.9,EDP
AMOUAGE Memoir,"sandalwood, vetiver, guaiac wood, amber, vanilla, musk, oakmoss, leather, tobacco",Men,"rose, frankincense, lavender absolute",https://www.noon.com/uae-en/memoir-edp-100ml/N25837893A/p?o=cb1422a8e81af0ba,Floral,100ml,,590.0,EDP
AMOUAGE Memoir,"french labdanum, oak moss, styrax, leather castoreum",Women,"incense, pepper, woodsy, jasmine",https://www.noon.com/uae-en/memoir-edp-100ml/N11803434A/p?o=d37705daee4d74bf,Fruity,100ml,"cardamom, mandarin orange, pink pepper, wormwood",484.9,EDP
AMOUAGE Myths,"labdanum, ash, leather",Women,"rum, rose, vetiver, elemi",https://www.noon.com/uae-en/myths-edp-100ml/N11756269A/p?o=a5334d02aa00b2ab,Fresh,100ml,,493.1,EDP
AMOUAGE Opus I Library Collection,"musk, patchouli, virginia cedar, amber, incense",Unisex,"jasmine, cardamom, cinnamon, rose",https://www.noon.com/uae-en/opus-i-library-collection-edp-100ml/N11803442A/p?o=a36430accb8d7cfc,Woody,100ml,"lavender, wormwood, pink pepper, pepper",519.65,EDP
AMOUAGE Opus II,"cedar, amber, musk, incense, patchouli",Unisex,"jasmine, rose, cinnamon, cardamom",https://www.noon.com/uae-en/opus-ii-edp-100ml/N37566974A/p?o=e1fbdf4163642dda,Oriental,100ml,,545.65,EDP
AMOUAGE Opus II Library Collection,"amber, musk, patchouli, frankincense",Women,"rose, jasmine, cardamon",https://www.noon.com/uae-en/opus-ii-library-collection-edp-100ml/N25837894A/p?o=a2114085b82664fe,Fresh,100ml,,509.0,EDP
AMOUAGE Opus III,"musk, sandalwood, guaiac wood, virginia cedar, benzoin vanille, ambrette (musk mallow), papyrus",Unisex,"jasmine, african orange flower, ylang-ylang, violet",https://www.noon.com/uae-en/opus-iii-edp-100ml/N11803444A/p?o=e9e0981e2e74458c,Oriental,100ml,"mimosa, dyer’s greenweed, clove, nutmeg, thyme",467.0,EDP
AMOUAGE Opus IV,"labdanum, incense, musk",Unisex,"elemi, cardamon, caraway, rose hip, rose, violet leaf",https://www.noon.com/uae-en/opus-iv-edp-100ml/N11074636A/p?o=c2874dc8898387cd,Fruity,100ml,"lemon, mandarin orange, grapefruit, coriander",573.75,EDP
AMOUAGE Opus IX Library Collection,"vetiver, ambergris, civet",Unisex,"guaiac wood, leather, beeswax",https://www.noon.com/uae-en/opus-ix-library-collection-edp-100ml/N11201613A/p?o=c1b83f0b2c3e6b3a,Fruity,100ml,"camelia, jasmine, black pepper",529.9,EDP
AMOUAGE Opus V Library Collection,"agarwood (oud), woodsy, civetta",Unisex,"iris, rose, jasmine",https://www.noon.com/uae-en/opus-v-library-collection-edp-100ml/N11803446A/p?o=a421b67b5465762f,Floral,100ml,"orris root, rum",598.45,EDP
AMOUAGE Opus VI Library Collection,"ambranum, sandalwood, cistus, z11",Unisex,"periploca, cypriol, patchouli",https://www.noon.com/uae-en/opus-vi-library-collection-edp-100ml/N11201616A/p?o=f2462a40b59a69ce,Floral,100ml,"sichuan pepper, st.thomas bay, frankincense",663.7,EDP
AMOUAGE Opus VII Library Collection,"costus root, sandalwood, olibanum, cypriol, muscone",Unisex,"agarwood smoke, patchouli, ambrox, leather, ambergris",https://www.noon.com/uae-en/opus-vii-library-collection-edp-100ml/N11201615A/p?o=e7a0ff28a6ec50ee,Woody,100ml,"pink pepper, cardamom, nutmeg, fenugreek, galbanum",643.8,EDP
AMOUAGE Opus VIII,"benzoin, west indian bay",Unisex,"olibanum, saffron, ginger, vetiver, guaiac wood",https://www.noon.com/uae-en/opus-viii-edp-100ml/N11201614A/p?o=2b3eb0969d2482f9,,100ml,"jasmine, ylang-ylang, orange blossom",602.55,EDP
AMOUAGE Portrayal,cade,Men,vetiver,https://www.noon.com/uae-en/portrayal-edp-100ml/N37566972A/p?o=c446bde9e744bd5a,,100ml,violet leaves,585.0,EDP
AMOUAGE Pous III,"ambrette seed, musk, papyrus, cedarwood, sandalwood,guaiac wood, benzoin, vanilla, frankincense",Unisex,"violet, jasmine, ylang-ylang, orange blossom",https://www.noon.com/uae-en/pous-iii-edp-100ml/N11074635A/p?o=a1d75b354e7df5df,Oriental,100ml,"mimosa, broom, carnation, nutmeg, thyme",663.0,EDP
AMOUAGE Ralph Lauren Romance,"patchouli, oakmoss, white musk",Women,"white violet, lily, carnation, lotus",https://www.noon.com/uae-en/ralph-lauren-romance-edp-100ml/N13582598A/p?o=ce3c7c3aa7e3a2aa,Floral,100ml,"ginger, chamomile, lemon, yellow freesia, rose",295.0,EDP
AMOUAGE Reflection,"sandalwood, patchouli, vetiver, cedar",Men,"orris root, jasmine, neroli, ylang-ylang",https://www.noon.com/uae-en/reflection-edp-100ml/N15567547A/p?o=d4d34eda5c341bba,Woody,100ml,"rosemary, pink pepper, petitgrain",672.8,EDP
AMOUAGE Reflection,"sandalwood , amber , cedar",Women,"magnolia , jasmine",https://www.noon.com/uae-en/reflection-edp-100ml/N11803435A/p?o=c27e256be6bb508b,Floral,100ml,"freesia , green leaves , water violet",578.95,EDP
AMOUAGE ReflectionSpray,"oriental, warm, noble, consists of cedar, sandal, amber",Women,"splendid magnolia, the king of seduction jasmine blossom",https://www.noon.com/uae-en/reflection-edp-spray-100ml/N11756271A/p?o=f20e143ede279edb,Floral,100ml,,580.7,EDP
